id,course_no,section,title,classification,course_type,isLab,fields,areas,credit,theory,lab,limit,limit2,split,remarks
52,HL111a,02,쓰기·읽기·말하기,공통필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,30,0,"3,3",2018학번 이후 학번만 신청 가능
53,HL111a,03,쓰기·읽기·말하기,공통필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,30,0,"3,3",2018학번 이후 학번만 신청 가능
54,HL111a,04,쓰기·읽기·말하기,공통필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,30,0,"3,3",2018학번 이후 학번만 신청 가능
55,HL203,01,English for Science Leaders II,공통필수,교과,이론,DGIST특성화,English for Science Leaders,2.0,3.0,0.0,20,0,"3,3",영어강의(Delivered in English)
56,HL203,02,English for Science Leaders II,공통필수,교과,이론,DGIST특성화,English for Science Leaders,2.0,3.0,0.0,20,0,"3,3",영어강의(Delivered in English)
57,HL203,03,English for Science Leaders II,공통필수,교과,이론,DGIST특성화,English for Science Leaders,2.0,3.0,0.0,20,0,"3,3",영어강의(Delivered in English)
58,HL203,04,English for Science Leaders II,공통필수,교과,이론,DGIST특성화,English for Science Leaders,2.0,3.0,0.0,20,0,"3,3",영어강의(Delivered in English)
59,HL203,05,English for Science Leaders II,공통필수,교과,이론,DGIST특성화,English for Science Leaders,2.0,3.0,0.0,20,0,"3,3",영어강의(Delivered in English)
60,HL203,06,English for Science Leaders II,공통필수,교과,이론,DGIST특성화,English for Science Leaders,2.0,3.0,0.0,20,0,"3,3",영어강의(Delivered in English)
61,HL203,07,English for Science Leaders II,공통필수,교과,이론,DGIST특성화,English for Science Leaders,2.0,3.0,0.0,20,0,"3,3",영어강의(Delivered in English)
62,HL203,08,English for Science Leaders II,공통필수,교과,이론,DGIST특성화,English for Science Leaders,2.0,3.0,0.0,20,0,"3,3",영어강의(Delivered in English)
63,HL203,09,English for Science Leaders II,공통필수,교과,이론,DGIST특성화,English for Science Leaders,2.0,3.0,0.0,20,0,"3,3",영어강의(Delivered in English)
64,HL203,10,English for Science Leaders II,공통필수,교과,이론,DGIST특성화,English for Science Leaders,2.0,3.0,0.0,20,0,"3,3",영어강의(Delivered in English)
65,HL204,01,동서양 철학의 통시적 이해,공통필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,10,0,"3,3",동일과목 : (HL102) 동서양 철학의 통시적 이해 / 2014~2017학번만 신청 가능
66,HL204,02,동서양 철학의 통시적 이해,공통필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,10,0,"3,3",동일과목 : (HL102) 동서양 철학의 통시적 이해 / 2014~2017학번만 신청 가능
