id,course_no,section,title,classification,course_type,isLab,fields,areas,credit,theory,lab,limit,limit2,split,remarks
179,SE214a,04,자동제어시스템(이론),공통필수,교과,이론,기초공학,자동제어,2.0,2.0,0.0,55,0,4,"동일과목 : (SE301) 자동제어시스템, (SE301a) 자동제어시스템(이론)"
180,SE214b,01,자동제어시스템(실습),공통필수,교과,실습,기초공학,자동제어,1.0,0.0,2.0,27,0,4,"동일과목 : (SE301) 자동제어시스템, (SE301b) 자동제어시스템(실습)"
181,SE214b,02,자동제어시스템(실습),공통필수,교과,실습,기초공학,자동제어,1.0,0.0,2.0,27,0,4,"동일과목 : (SE301) 자동제어시스템, (SE301b) 자동제어시스템(실습)"
182,SE214b,03,자동제어시스템(실습),공통필수,교과,실습,기초공학,자동제어,1.0,0.0,2.0,27,0,4,"동일과목 : (SE301) 자동제어시스템, (SE301b) 자동제어시스템(실습)"
183,SE214b,04,자동제어시스템(실습),공통필수,교과,실습,기초공학,자동제어,1.0,0.0,2.0,27,0,4,"동일과목 : (SE301) 자동제어시스템, (SE301b) 자동제어시스템(실습)"
184,SE214b,05,자동제어시스템(실습),공통필수,교과,실습,기초공학,자동제어,1.0,0.0,2.0,27,0,4,"동일과목 : (SE301) 자동제어시스템, (SE301b) 자동제어시스템(실습)"
185,SE214b,06,자동제어시스템(실습),공통필수,교과,실습,기초공학,자동제어,1.0,0.0,2.0,27,0,4,"동일과목 : (SE301) 자동제어시스템, (SE301b) 자동제어시스템(실습)"
186,SE214b,07,자동제어시스템(실습),공통필수,교과,실습,기초공학,자동제어,1.0,0.0,2.0,27,0,4,"동일과목 : (SE301) 자동제어시스템, (SE301b) 자동제어시스템(실습)"
187,SE214b,08,자동제어시스템(실습),공통필수,교과,실습,기초공학,자동제어,1.0,0.0,2.0,27,0,4,"동일과목 : (SE301) 자동제어시스템, (SE301b) 자동제어시스템(실습)"
188,SE221c,01,복소함수론 (이.공),교선필수,교과,이론및실습,기초과학,수학,3.0,3.0,1.0,50,0,"3,3","동일과목 : (SE221) 복합 공학 수학 – 심화 (이), (SE221a) 복합 공학 수학 - 심화 연습 (이), (SE221b) 복합 공학 수학 – 심화 (이) / 2018학번 이후 학번만 신청 가능"
189,SE222c,01,"복합 공학 수학 (이, 공)",교선필수,교과,이론및실습,기초과학,수학,3.0,3.0,1.0,50,0,"3,3","동일과목 : (SE222) 복합 공학 수학 (이), (SE222a) 복합 공학 수학 연습 (이), (SE222b) 복합 공학 수학 (이)  / 2018학번 이후 학번만 신청 가능"
190,SE222c,02,"복합 공학 수학 (이, 공)",교선필수,교과,이론및실습,기초과학,수학,3.0,3.0,1.0,50,0,"3,3","동일과목 : (SE222) 복합 공학 수학 (이), (SE222a) 복합 공학 수학 연습 (이), (SE222b) 복합 공학 수학 (이)  / 2018학번 이후 학번만 신청 가능"
191,SE232a,01,열 및 통계 물리 (이.공),교선필수,교과,이론,기초과학,물리,3.0,3.0,0.0,65,0,"3,3","동일과목 : (SE232) 열 및 통계 물리(이론) (이.공), (SE234) 열 및 통계 물리(실습) (이.공)"
192,SE237,01,전기역학(이.공),교선필수,교과,이론,기초과학,물리,3.0,3.0,0.0,65,0,"3,3",
193,SE245c,01,유기화학의 이해 (이),교선필수,교과,이론,기초과학,화학,3.0,3.0,0.0,50,0,"3,3","동일과목 : (SE243) 유기화학의 이해(이론) (이), (SE244) 유기화학의 이해(실습) (이), (SE245a) 유기화학의 이해(이론) (이), (SE245b) 유기화학의 이해(실습) (이) /  2014~2017학번만 신청 가능"
194,SE245e,01,유기화학 Ⅱ (이),교선필수,교과,이론,기초과학,화학,3.0,3.0,0.0,50,0,"3,3","동일과목 : (SE345) 유기반응의 이해 (이), (SE345a) 유기화학 Ⅱ (이) / 2018학번 이후 학번만 신청 가능"
195,SE246d,01,무기화학 Ⅰ (이),교선필수,교과,이론,기초과학,화학,3.0,3.0,0.0,50,0,"3,3","동일과목 : (SE240) 합성으로 이루어진 세상(이), (SE246a) 합성으로 이루어진 세상(이론) (이), (SE246b) 합성으로 이루어진 세상(실습) (이), (SE246c) 합성으로 이루어진 세상 (이)"
196,SE248a,01,물리화학Ⅰ (이),교선필수,교과,이론,기초과학,화학,3.0,3.0,0.0,50,0,"3,3","동일과목 : (SE248) 화학속의 물리학 (이), (SE340) 화학속의 물리학 (이)"
197,SE249b,01,화학공학개론 (공),교선필수,교과,이론,기초과학,화학,3.0,3.0,0.0,50,0,"3,3",
198,SE252,01,생명과학실험 II (이),교선필수,교과,실습,기초과학,생물,3.0,0.0,6.0,24,0,"6,6",
199,SE252,02,생명과학실험 II (이),교선필수,교과,실습,기초과학,생물,3.0,0.0,6.0,24,0,"6,6",
